customer_id,ssn,name,birth_date,marital_status,income_bracket,signup_date,city,state,payment_method,acquisition_channel,credit_score,cancellation_date
17,348-72-5249,Lauren Holland,1954-06-11,Married,D,1997-01-31,Sophiahaven,GU,Direct Debit,Physical Store,599,
18,628-69-0256,Kimberly Hill,1953-05-26,Single,C,2014-11-08,West Amber,CA,Direct Debit,Partner,595,
19,458-46-8016,Dustin Mcmillan DDS,1987-09-27,Divorced,D,2023-09-21,Josephfort,KY,Credit Card,Telesales,355,2025-01-02
20,719-77-1791,Ivan Clark,2005-10-23,Single,B,2023-10-22,Lake Meganville,IN,Bank Slip,Online,722,
21,779-04-4671,Chelsea Jones,1964-07-03,Widowed,C,2016-12-05,North Alyssa,AK,Direct Debit,Physical Store,326,
22,259-13-0891,Bradley Craig,1974-10-10,Married,D,2000-06-08,Angelafort,OR,Credit Card,Online,732,
23,565-36-7707,William Taylor,1962-08-01,Single,C,2003-07-13,New Michaelland,NJ,Credit Card,Telesales,671,
24,709-09-9761,Amber Nelson,1981-08-18,Widowed,C,2012-03-21,Port William,OH,Credit Card,Online,561,2017-01-27
25,873-16-6960,Angela Huff,1977-06-14,Married,B,2012-09-09,North Brianton,PW,Credit Card,Online,739,
26,121-98-5752,Barry Wall,1945-10-28,Widowed,A,1995-06-07,Tracybury,OR,Direct Debit,Physical Store,513,
27,396-47-3037,Donna Reid,2002-07-04,Divorced,B,2024-05-10,West Vincent,MT,Direct Debit,Partner,438,
28,729-67-9983,Barbara Garcia,1964-08-18,Married,D,2013-03-28,New Michelle,FM,Credit Card,Physical Store,800,2021-10-04
29,581-16-5506,Christopher Stevens,1953-09-20,Married,C,2006-01-07,Brittanyton,MO,Direct Debit,Physical Store,744,
30,702-14-6228,Katherine Chung,1950-11-08,Single,B,2024-02-26,South Timothyfort,ME,Credit Card,Physical Store,832,
31,276-10-9927,John Olson,1948-12-05,Widowed,A,2018-05-02,Carlsonfort,MD,Bank Slip,Telesales,753,
32,169-48-6780,Rachel Beck,1954-09-23,Widowed,D,1996-05-09,East Timothy,AL,Credit Card,Physical Store,681,
33,293-76-9522,Justin Smith,1949-05-10,Married,A,2005-05-25,Michaelport,SC,Credit Card,Online,367,
34,806-30-0834,Don Murphy,1952-04-17,Widowed,B,2006-03-27,Stoutside,PR,Direct Debit,Online,466,
35,309-23-4340,Natalie Mcintosh,1962-11-19,Widowed,A,2016-08-09,Rebeccaburgh,MS,Bank Slip,Telesales,846,
36,894-36-4107,Mark Bernard,1970-11-17,Divorced,B,2017-05-07,Karenport,KS,Direct Debit,Telesales,556,
37,761-62-6936,John Romero,1953-10-29,Divorced,A,1978-01-11,North Candace,ME,Bank Slip,Telesales,443,
38,094-28-1101,Anthony Wade,1956-03-14,Widowed,C,1976-09-08,Romerohaven,OH,Bank Slip,Physical Store,432,
39,339-24-2742,Caleb Bates,1961-02-01,Married,C,1991-12-19,New Chad,DE,Credit Card,Telesales,375,
40,319-89-1936,Mary Mcgrath,1960-10-16,Married,B,2007-07-29,Brendaville,NE,Bank Slip,Telesales,527,
41,634-90-2082,Daniel Bowman,1961-09-26,Widowed,C,2014-11-26,Loganville,AZ,Credit Card,Online,827,
42,229-07-8049,William Martin,1969-01-16,Single,C,1998-07-23,Port James,UT,Direct Debit,Partner,825,
43,677-89-6816,James Yang,2000-07-10,Widowed,B,2020-03-19,Diazton,OH,Direct Debit,Online,637,
44,359-52-8631,Belinda Scott,2001-07-01,Divorced,D,2020-02-14,Lake Charlesberg,TX,Credit Card,Partner,781,
45,720-23-5885,Ronald Ortiz,1958-02-05,Divorced,D,1997-01-13,Timothyberg,AR,Bank Slip,Partner,763,
46,534-61-2090,Amanda Jackson,2003-11-09,Divorced,C,2022-04-12,Wiseville,NV,Direct Debit,Physical Store,611,2025-01-19
47,574-23-2343,Alice Sanders,1957-08-30,Married,D,1989-05-18,Port Kyle,AZ,Bank Slip,Partner,644,
48,718-84-9188,Marilyn Blake,1964-03-20,Divorced,B,2010-09-29,West Michaelchester,CT,Direct Debit,Online,765,
49,582-71-3988,Megan Kelley,1964-11-07,Divorced,B,1996-09-12,Annburgh,RI,Direct Debit,Physical Store,707,
50,074-84-2229,Natalie Pollard,1979-01-08,Divorced,C,2008-11-02,Jonesville,AS,Direct Debit,Online,598,
51,069-85-4620,Rachel Waters,1956-12-22,Single,B,2002-09-27,New Chase,AR,Credit Card,Online,762,2003-06-25
52,525-01-4710,Kristie Cook,1990-08-07,Widowed,C,2010-08-24,Sarahland,FM,Credit Card,Online,453,
53,054-56-2073,Manuel Roth,1979-04-23,Divorced,C,2024-03-02,Jonesmouth,AR,Credit Card,Partner,606,
54,814-73-7795,Juan Lang,1946-10-30,Single,B,1981-09-20,Amyview,NH,Credit Card,Partner,813,2019-03-09
55,710-82-2540,Kelli Sanders,1989-10-13,Married,D,2012-03-25,North Tamara,TN,Bank Slip,Partner,667,
56,618-94-4610,Rita Powell,1977-10-15,Married,A,1997-07-31,Lake Sheryl,IL,Credit Card,Physical Store,453,2010-08-25
57,367-57-2982,Cody Spears,1966-04-07,Widowed,C,1987-04-08,North Francisco,MT,Bank Slip,Telesales,625,
58,505-19-5342,Damon Hunter,1981-04-11,Married,A,2002-05-02,Glassberg,NE,Direct Debit,Partner,602,
59,873-41-9378,Omar Cherry,1962-01-30,Divorced,D,2009-03-02,Walkermouth,PA,Bank Slip,Telesales,313,
60,829-82-0879,Christina Lee,1963-04-15,Widowed,B,2001-09-17,Hicksmouth,VI,Bank Slip,Partner,825,
61,262-23-8091,Desiree Brown,1989-08-01,Married,C,2008-11-20,Schwartzhaven,MO,Direct Debit,Physical Store,808,
62,382-27-6881,Joel Torres,1990-10-28,Single,C,2014-04-09,Mossland,GU,Bank Slip,Physical Store,588,
63,861-68-4506,Rhonda Brooks,1992-01-11,Widowed,B,2022-10-30,Shirleyton,NM,Credit Card,Online,574,2024-08-05
64,507-54-8454,Edward Walker,1991-02-03,Single,C,2013-04-19,East Kyle,IL,Direct Debit,Physical Store,377,
65,361-81-5184,Larry Lynch,1967-05-20,Divorced,B,1997-11-24,Kellerbury,AL,Bank Slip,Physical Store,426,
66,070-78-7147,Walter Brown,1956-12-25,Single,D,2009-10-15,Port Royburgh,AK,Bank Slip,Telesales,370,
67,459-32-8396,Jessica Bond,1965-03-03,Single,C,2002-08-29,East Jerome,IL,Direct Debit,Partner,827,
68,260-78-1553,Gerald Peters,1982-06-26,Divorced,B,2016-07-21,Sarahberg,LA,Direct Debit,Partner,463,
69,301-23-2906,Tara Hill,1954-01-05,Divorced,B,2018-09-19,Jaclynhaven,OH,Bank Slip,Physical Store,332,2023-12-31
70,842-54-2786,April Hart,1985-07-25,Divorced,D,2004-11-22,West Robinhaven,MP,Credit Card,Partner,772,
71,262-77-2113,Pamela Wright,1974-10-08,Married,D,2007-05-30,Lake Courtney,HI,Bank Slip,Partner,754,
72,150-20-8990,James Larson,1976-09-05,Single,C,2016-02-02,Mcdowellport,NY,Credit Card,Physical Store,590,2017-04-05
73,213-10-5178,Sheri Mathews,1989-08-24,Single,D,2020-05-16,Tarafurt,MT,Direct Debit,Telesales,821,2023-12-07
74,159-17-9463,Eric Jackson,1980-05-26,Married,C,2023-10-15,New Ryan,RI,Bank Slip,Telesales,625,
75,482-14-6375,Christopher Holland,1956-12-01,Widowed,A,2012-01-25,Bryanland,MO,Credit Card,Telesales,320,
76,474-15-9369,Melanie Robinson,1952-11-29,Single,D,2025-02-19,Jessicaside,PA,Credit Card,Telesales,736,
77,451-10-8156,Joseph Johnson,1961-06-11,Divorced,D,1994-03-12,New Frank,CO,Credit Card,Telesales,588,
78,202-34-3819,Kathleen Sanders,1988-03-06,Divorced,C,2014-03-15,East Nicoleshire,NV,Direct Debit,Physical Store,497,2024-11-28
79,833-39-4064,Michele Green,2001-12-17,Divorced,A,2023-05-18,Ericborough,RI,Direct Debit,Physical Store,600,2024-10-13
80,259-77-2720,Lisa Sloan,1961-09-18,Widowed,D,2023-09-11,Simsbury,MD,Credit Card,Online,571,
81,678-72-3516,Frank Mitchell,2004-10-18,Widowed,B,2023-12-16,Lake Emily,AR,Credit Card,Online,780,2025-02-15
82,438-15-9991,Carla Hartman,1951-07-13,Single,B,2022-01-29,Christopherfurt,NC,Direct Debit,Online,737,
83,169-22-2042,Jason Gomez,1985-03-28,Single,B,2019-04-29,Lake Donna,HI,Bank Slip,Physical Store,329,
84,238-15-0229,Carla Adams,1982-12-23,Divorced,C,2010-05-15,Port Cynthia,WI,Direct Debit,Physical Store,511,
85,790-38-4780,Raymond Smith,1985-02-27,Single,A,2018-08-02,Whitetown,UT,Bank Slip,Partner,482,
86,076-98-8736,Barbara Ford,1965-03-23,Widowed,B,1984-07-06,Hannahton,GA,Credit Card,Partner,542,
87,050-53-9443,Kevin Walsh,2004-05-01,Married,D,2022-05-27,Baldwinview,HI,Direct Debit,Online,740,
88,755-18-7826,Brady Allen,1982-04-16,Married,B,2017-07-24,South Jillbury,NM,Credit Card,Partner,510,
89,500-59-0613,Terry Davis,1964-02-19,Single,C,2004-03-23,East Jim,NV,Credit Card,Online,590,
90,053-69-3025,Joshua Graham,1978-09-08,Married,B,2020-08-03,West Erik,PR,Bank Slip,Telesales,404,
91,358-15-3868,Helen Miller,1997-07-04,Widowed,D,2021-06-03,Laurenside,KY,Direct Debit,Partner,632,
92,855-16-7841,Mike Johnson,1961-12-24,Single,C,1986-06-03,Emmahaven,CT,Credit Card,Partner,512,
93,646-33-3570,Thomas Love,1952-11-28,Married,C,1982-06-22,Debraborough,VI,Direct Debit,Partner,848,
94,478-25-2839,Tara Smith,1965-07-10,Divorced,A,2010-06-23,Wallburgh,TX,Direct Debit,Online,419,
95,416-93-2973,Samuel Kim,1949-09-28,Married,A,2003-08-13,Nicolemouth,MS,Bank Slip,Telesales,782,
96,352-11-6187,Karen Mitchell,1967-10-09,Widowed,A,1989-06-23,East Zacharyhaven,CT,Bank Slip,Telesales,705,
97,079-35-0308,Bryan Gray,1994-10-31,Single,B,2019-11-11,Port Angela,FL,Credit Card,Partner,837,
98,690-64-0763,Suzanne Hernandez,1977-01-29,Single,B,2010-04-18,East Theodorefurt,NM,Credit Card,Telesales,765,
99,015-71-6489,Robert Ashley,2000-12-29,Divorced,C,2021-06-20,Whiteland,TN,Credit Card,Physical Store,315,
100,694-20-1203,Stephanie Daniels,1983-10-18,Divorced,B,2022-03-07,South Teresastad,GA,Bank Slip,Physical Store,470,2023-07-17
101,636-98-2471,Taylor Dillon,2007-03-10,Widowed,A,2025-05-16,East Jeffrey,NC,Bank Slip,Partner,425,
102,336-26-9021,Blake Moore,1951-12-14,Widowed,D,1983-03-03,South Joshuaville,ID,Bank Slip,Online,768,
103,413-28-2541,Nancy Perry,1972-08-24,Single,A,2015-01-04,Port William,FL,Bank Slip,Telesales,735,
104,209-85-2959,Larry Sparks,1945-10-04,Widowed,D,1993-12-29,Michaelborough,KS,Direct Debit,Telesales,557,
105,461-41-8482,Emily Pitts,1980-05-06,Single,A,2015-10-18,Lake Alanfurt,CA,Credit Card,Telesales,324,
106,386-87-6492,Monica Hughes,1956-02-11,Married,A,1983-03-22,Port Garrett,MI,Bank Slip,Physical Store,409,2024-12-18
107,797-41-4505,Jeremy Flores,1972-06-18,Widowed,C,2013-05-30,Port Kristin,CT,Direct Debit,Physical Store,567,
108,275-44-8586,Shelia Edwards,1992-03-20,Married,A,2015-06-14,Lake Gregg,MS,Bank Slip,Physical Store,659,
109,854-12-0517,Carla Olson,1982-10-19,Widowed,B,2011-03-22,Port Shanetown,RI,Credit Card,Partner,501,
110,847-88-2411,Gina Myers,1994-04-15,Married,C,2012-12-30,East Carmen,NH,Bank Slip,Physical Store,585,
111,689-39-6358,Kathryn Best,1996-01-05,Divorced,B,2019-05-05,Thomashaven,DE,Direct Debit,Partner,487,
112,086-57-3579,Mitchell Erickson,1990-05-11,Widowed,D,2020-05-31,Petersbury,TX,Credit Card,Physical Store,826,
113,586-98-5217,Christopher Clarke,1991-07-29,Married,A,2012-11-01,Martinside,VT,Direct Debit,Online,302,
114,293-02-7787,Tyler Baldwin,1988-07-30,Married,D,2013-01-19,Danielfurt,VT,Direct Debit,Online,342,
115,238-48-0512,Sarah Rodriguez,1974-03-28,Divorced,B,2017-03-01,Hillstad,NM,Bank Slip,Physical Store,731,
116,334-38-3549,Natasha Bates,1978-04-09,Single,C,2014-05-19,Hollychester,PW,Credit Card,Partner,731,
117,325-37-2828,Jared King,1993-09-04,Married,A,2024-11-17,Horntown,WI,Direct Debit,Physical Store,760,
118,145-08-5782,Steven Young,1945-02-24,Divorced,D,2014-02-03,Dennisview,MA,Credit Card,Online,420,
119,104-94-1353,Jessica Peck,1999-09-18,Single,A,2017-09-13,South Rosestad,PA,Direct Debit,Online,374,2017-12-13
120,338-80-7104,Lindsey Graham,1959-04-18,Widowed,A,2009-07-01,New Whitney,IA,Bank Slip,Partner,823,
121,482-61-3227,Donna Harris,1963-03-09,Divorced,D,2012-01-14,New Jose,NC,Credit Card,Physical Store,397,
122,369-49-5658,Samantha Gonzalez,1986-08-12,Single,A,2014-09-04,Littleburgh,GA,Credit Card,Online,518,
123,197-71-9589,Jessica Bowen,2007-03-13,Single,A,2025-04-23,Ramirezchester,UT,Credit Card,Physical Store,370,
124,334-90-2505,Katrina Kennedy,1958-03-25,Divorced,A,2008-03-23,West Scott,CO,Bank Slip,Telesales,316,
125,510-27-8681,Katrina Benson,1948-03-13,Widowed,C,1967-11-28,Ruizmouth,TN,Direct Debit,Partner,831,
126,089-63-8117,Monica Barber,1964-02-08,Divorced,B,1982-05-31,New Manuel,AK,Bank Slip,Partner,494,
127,426-02-4401,Dawn Moore,1989-02-17,Widowed,D,2023-05-09,New Brittney,CA,Credit Card,Partner,767,
128,055-60-0243,Alexander Randall,1960-10-03,Divorced,B,1993-03-27,Sandovalmouth,AK,Bank Slip,Telesales,710,2001-04-12
129,236-06-9425,Kimberly Smith,1957-05-13,Widowed,A,1998-03-27,Frazierburgh,ID,Direct Debit,Telesales,734,2024-11-28
130,325-97-1182,Kyle Le,2000-06-10,Widowed,D,2022-10-11,New Kennethland,HI,Credit Card,Telesales,327,
131,063-77-3057,Jennifer Johnson,2005-03-14,Single,A,2024-11-23,Lake Jason,NC,Direct Debit,Partner,509,
132,634-90-5009,Christopher Collins,1952-04-03,Single,D,2013-08-18,Hoovershire,WA,Direct Debit,Physical Store,637,
133,294-37-6246,Rachel Cobb,1983-07-08,Divorced,C,2013-12-31,East Lisa,DC,Credit Card,Physical Store,443,
134,077-30-0169,Angela White,1962-04-29,Single,A,2008-03-27,New Joelchester,FL,Direct Debit,Online,439,
135,050-65-5298,Makayla Ball,1985-08-29,Widowed,C,2005-03-22,East Christopherburgh,TX,Credit Card,Physical Store,623,2024-01-03
136,633-05-1827,Michael Berg,1960-06-14,Divorced,A,2021-06-13,Wardborough,AR,Credit Card,Physical Store,565,2022-06-11
137,722-77-7457,Jason Cross,1980-11-04,Single,C,2022-03-14,Michaelhaven,FL,Credit Card,Online,652,
138,620-22-2830,Jeffrey Contreras,2002-08-12,Widowed,B,2024-03-10,East Royborough,NJ,Credit Card,Physical Store,332,
139,202-60-8081,Jason Cabrera,1987-07-10,Married,B,2007-10-31,West Michael,SC,Bank Slip,Physical Store,603,
140,855-37-0834,Theresa Yang,1971-05-26,Divorced,C,2011-01-06,Port Johnmouth,AZ,Direct Debit,Physical Store,579,
141,292-24-9480,Jennifer Sherman,1976-11-18,Married,B,2009-06-14,North Susanshire,MP,Credit Card,Online,405,
142,454-41-3329,David Michael,1959-02-26,Married,D,1997-01-29,New Jasonchester,MO,Direct Debit,Telesales,535,
143,487-65-7563,Charles Martinez MD,1950-05-20,Widowed,C,1984-11-07,Port Heather,NY,Direct Debit,Telesales,813,
144,213-35-3321,Heather Long,2005-06-17,Divorced,B,2024-10-20,Lake Nicholasmouth,SD,Bank Slip,Partner,699,
145,366-87-2819,Lawrence Ortiz,1999-11-20,Single,B,2018-03-04,Michaelfort,NH,Direct Debit,Online,808,
146,577-84-0397,Jordan Parker,1983-02-10,Divorced,D,2010-09-12,South Maxberg,ME,Bank Slip,Partner,653,
147,279-18-4877,Adrian Davis,1956-10-22,Married,A,1998-07-15,West Carolyn,UT,Bank Slip,Online,662,
148,539-84-9493,Jessica Wallace,1999-09-14,Single,C,2022-05-23,Lake Christopherborough,PR,Direct Debit,Partner,575,
149,227-23-4970,James Davis,1957-09-22,Single,C,2016-03-27,Rebeccaburgh,NM,Credit Card,Physical Store,772,
150,244-39-4643,Kaitlin Lee,1976-04-13,Widowed,D,2001-06-04,Hurstbury,NM,Direct Debit,Online,398,
151,044-05-0301,Rita Clark,1997-07-30,Divorced,A,2016-08-23,Joshuamouth,GA,Credit Card,Telesales,331,
152,175-99-6044,Melanie Mckinney,1959-02-24,Widowed,C,2011-03-23,Robinsonbury,MP,Bank Slip,Partner,307,
153,551-97-8177,Christopher Moreno,1966-10-22,Single,B,2015-12-30,East Michealfurt,MI,Credit Card,Physical Store,728,
154,598-36-0722,Rebecca Anderson,1984-02-02,Married,A,2017-02-09,Port Elizabethton,UT,Direct Debit,Physical Store,594,2024-12-13
155,544-06-1471,Alfred Jackson,1993-12-26,Divorced,B,2013-10-12,Lake Joycemouth,WY,Credit Card,Physical Store,556,
156,530-32-9510,Sarah Ingram,1995-12-29,Widowed,B,2024-08-10,Zunigaland,NV,Direct Debit,Physical Store,592,
157,042-27-0025,Matthew Richards,1993-10-26,Divorced,B,2013-03-14,North Grace,WY,Bank Slip,Physical Store,520,
158,073-05-9012,Melissa Serrano,1975-05-05,Single,B,1995-09-07,Jessicaside,IA,Credit Card,Physical Store,425,
159,512-94-7455,Cameron Weeks,1974-12-15,Divorced,D,2025-01-13,Davidshire,IA,Bank Slip,Physical Store,701,
160,028-65-7844,Angela Lynch,1960-08-12,Divorced,B,2024-11-25,Williamschester,ID,Credit Card,Telesales,545,
161,663-03-5855,Danny King,1951-05-25,Single,B,1997-09-24,Moorehaven,KY,Bank Slip,Telesales,682,
162,062-35-5322,Jill Perez,1998-04-07,Widowed,B,2018-01-07,East Matthew,ND,Credit Card,Telesales,363,2021-08-23
163,189-04-3227,Matthew Anderson,1956-11-30,Divorced,C,2018-09-09,Lake Maryburgh,WV,Credit Card,Online,839,
164,482-95-5964,Terri Cooper,1981-01-15,Single,B,2009-11-30,Elizabethchester,OH,Direct Debit,Online,793,
165,096-33-5662,Erik Nicholson,1948-11-02,Single,A,2006-11-27,Lake Jonberg,MD,Direct Debit,Partner,397,
166,318-61-0393,Michael Bryan,1946-09-27,Divorced,D,1984-11-25,North Virginiaberg,OK,Bank Slip,Telesales,530,
167,787-86-3891,Connor Woods,1959-11-13,Married,A,2001-04-01,Josephfurt,VA,Direct Debit,Partner,331,
168,708-37-3112,Karen Price DDS,1947-05-12,Divorced,D,1987-04-26,Elizabethview,WV,Credit Card,Telesales,521,
169,270-13-2519,Kelly Rodriguez,1953-12-29,Widowed,B,1972-03-14,Banksbury,PW,Credit Card,Physical Store,414,
170,675-55-7407,Derrick Henry,1993-09-25,Divorced,A,2019-12-18,North Ashleyburgh,OH,Direct Debit,Physical Store,674,
171,873-40-6686,Jennifer Barnett,2001-11-23,Divorced,A,2021-10-14,Herringburgh,MD,Credit Card,Partner,390,2022-01-30
172,816-40-2580,John Fowler,1997-01-09,Single,A,2021-05-27,Nicholasburgh,WV,Bank Slip,Online,395,
173,272-10-3978,Philip Andrews,1990-08-09,Widowed,A,2013-03-16,New Danielton,WI,Direct Debit,Telesales,405,
174,375-05-8594,Cynthia Ross,1989-01-31,Single,B,2012-04-12,Lake Cindyhaven,DE,Bank Slip,Telesales,619,
175,785-64-9186,Amy Long,1984-01-25,Married,C,2010-05-17,North Erikburgh,MH,Direct Debit,Online,471,2016-12-10
176,578-18-5306,Jesse Patrick,1976-06-07,Single,B,2024-12-21,Lake Tracitown,WI,Bank Slip,Physical Store,566,
177,789-88-1677,Ashley Ortiz,1977-06-10,Divorced,C,2024-01-04,North Danieltown,RI,Bank Slip,Partner,817,
178,183-36-6368,Cheryl Chambers,1972-01-23,Widowed,D,2018-07-19,Louisbury,CO,Bank Slip,Telesales,728,2023-08-08
179,396-02-7923,Spencer White,1959-11-18,Single,C,2003-10-31,West Garyberg,MN,Credit Card,Physical Store,738,
180,857-92-8573,Sandra Knight,1973-04-06,Widowed,C,2017-10-25,Lake Ericfurt,MH,Direct Debit,Partner,639,
181,796-95-6222,Patricia Johnson,2006-03-09,Married,C,2024-09-12,Hunterport,DC,Direct Debit,Online,824,
182,329-10-9300,Kenneth Barnes,1984-05-16,Widowed,D,2003-06-04,Port John,IA,Direct Debit,Telesales,327,
183,149-24-1423,Stephanie Baxter,1967-03-22,Single,A,1991-11-20,Jamesfort,TX,Direct Debit,Telesales,392,
184,565-91-7961,Joseph Cruz,1960-02-26,Single,C,2013-04-27,Port Robert,NV,Credit Card,Physical Store,326,
185,739-43-3992,Morgan Burgess,1944-11-10,Single,C,2004-12-19,Lake Jenniferville,CT,Credit Card,Telesales,738,
186,826-85-4619,Mark Frank,1990-10-14,Single,B,2018-05-20,West Donna,UT,Direct Debit,Online,845,
187,896-80-4264,Michael Roberson,1991-05-22,Widowed,D,2009-09-25,Port Dawnton,IA,Direct Debit,Physical Store,708,2016-12-17
188,294-48-4426,Anna Simmons,1971-02-28,Married,C,2024-10-31,New Davidview,RI,Direct Debit,Telesales,309,
189,147-28-8974,Matthew Moore,1952-06-18,Widowed,C,2000-07-26,Jacksonshire,HI,Credit Card,Online,531,2023-10-09
190,673-03-0619,Laura Jones DDS,1959-11-22,Single,C,1987-08-22,New Catherine,RI,Credit Card,Online,303,
191,040-88-8891,Elizabeth Holt,1971-06-03,Divorced,B,2011-09-30,Randallbury,NE,Direct Debit,Partner,749,
192,790-54-4712,Anne Dean,1993-05-19,Widowed,D,2024-07-18,Wesleyfurt,ME,Direct Debit,Telesales,525,
193,205-38-1245,Hannah Thompson,1961-05-07,Single,B,1985-09-01,Erichaven,SC,Direct Debit,Telesales,716,
194,742-30-4250,Jason Moore,2001-12-17,Single,B,2020-09-14,Clarkchester,LA,Direct Debit,Online,320,
195,251-93-1897,Chad Carlson,1978-11-02,Single,D,2003-05-22,Newtonbury,GU,Direct Debit,Online,648,
196,465-66-8645,Lindsey Berry,1983-12-16,Divorced,A,2013-10-01,East Jasonview,OR,Direct Debit,Physical Store,302,
197,417-15-6749,Joshua Cox,1966-04-09,Single,C,2006-12-28,South Jennifer,NM,Direct Debit,Partner,407,
198,818-62-5233,Deanna Hudson,1963-09-09,Divorced,A,1984-01-23,Ryanbury,DC,Credit Card,Physical Store,461,
199,740-33-2953,Meagan Hansen,1989-11-19,Widowed,C,2017-11-29,New Brian,NY,Bank Slip,Telesales,679,2023-06-17
200,630-78-3216,Richard Mitchell,2001-12-23,Married,A,2020-12-07,South Paulmouth,IA,Direct Debit,Online,465,
201,034-86-1810,Jack Tanner,1952-01-17,Widowed,C,2011-09-03,Murillomouth,KY,Credit Card,Physical Store,542,
202,209-17-9496,Benjamin Jones,1970-09-20,Divorced,A,1991-06-16,East Christopherside,WY,Direct Debit,Telesales,751,
203,033-80-5187,Andrea Vega,1961-01-27,Married,D,1997-02-27,East Charles,VI,Direct Debit,Physical Store,487,
204,658-10-6382,Erika Davis,1960-04-12,Single,A,1985-02-10,Nicolefurt,HI,Credit Card,Physical Store,396,
205,144-50-7196,James Duffy,1971-09-07,Widowed,D,2004-11-06,North Justin,ME,Credit Card,Partner,386,2008-11-16
206,514-93-2083,Kelly Thompson,1949-09-24,Married,C,1995-03-31,New Johnathanchester,RI,Credit Card,Telesales,323,
207,149-21-2370,Jessica Mack,1979-06-22,Married,C,2010-12-07,Christopherbury,OR,Credit Card,Online,474,2013-05-01
208,161-16-4631,Tanya Price,1952-07-17,Divorced,C,1991-11-14,East Caitlynview,IN,Direct Debit,Online,310,
209,757-98-0883,Jackie Carpenter,1997-06-10,Divorced,C,2016-03-30,Lindatown,LA,Direct Debit,Online,350,
210,441-54-7356,Lori Dawson,1993-03-05,Divorced,D,2015-03-13,South Michaelburgh,NH,Direct Debit,Physical Store,594,
211,527-21-1867,Paul Gordon,1971-10-03,Married,B,2018-05-12,Hessview,GA,Direct Debit,Telesales,597,
212,822-25-1620,Beverly Clark,1986-04-07,Married,D,2021-10-14,South Mariochester,FM,Direct Debit,Telesales,301,
213,304-20-4927,Evelyn Wright,2002-05-27,Single,B,2021-01-31,Davisstad,NE,Direct Debit,Online,442,
214,106-28-7773,Renee Lopez,1980-12-08,Single,A,2005-09-19,East Williamtown,NC,Bank Slip,Partner,424,
215,335-55-2081,Dustin Case,1945-01-11,Widowed,B,2007-02-28,West Jenniferton,VA,Credit Card,Partner,801,
216,382-78-4993,Mr. Michael Harding,1956-02-13,Widowed,B,2016-04-02,South Stephaniechester,MP,Credit Card,Online,611,
217,152-39-4119,Dawn Hoover,1992-03-29,Single,A,2016-09-02,South Travisland,OR,Bank Slip,Online,376,2023-11-24
218,870-71-5810,Vincent Rush,1979-10-28,Widowed,A,2003-06-13,Stewartmouth,WA,Direct Debit,Telesales,812,
219,747-37-0043,Corey Jones,2003-07-21,Single,A,2022-08-26,Kylefort,SD,Direct Debit,Physical Store,734,
220,730-36-0703,Laura Ramos,1973-01-10,Married,A,2024-12-15,New Pamela,VA,Bank Slip,Physical Store,747,
221,103-04-4900,Randy Thomas,1945-12-03,Widowed,B,1978-05-05,Hansonside,NJ,Credit Card,Telesales,414,
222,354-72-6763,Sabrina Roberts,1966-03-02,Widowed,D,2022-10-11,Lake William,DC,Credit Card,Telesales,300,
